customer_id,customer_name,location,industry_type,account_manager
CUST00113,Global Group,Los Angeles,Healthcare,Robert Taylor
CUST00114,Vertex Enterprises,San Antonio,Manufacturing,Maria Garcia
CUST00115,Tech Corp,San Antonio,Retail,David Kim
CUST00116,Elite Partners,Los Angeles,Logistics,
CUST00117,Prime Group,San Diego,Logistics,Michael Chen
CUST00118,Tech Enterprises,Houston,Finance,Robert Taylor
 CUST00119,Summit Solutions,Phoenix,Manufacturing,Lisa Anderson
CUST00120,Global Group,Austin,Logistics,Sarah Johnson
CUST00121,Elite Corp,San Diego,Healthcare,Robert Taylor
CUST00122,Apex Enterprises,Phoenix,Finance,Sarah Johnson
CUST00123,Global Enterprises,San Antonio,Healthcare,Robert Taylor
CUST00124,Phoenix Corp,New York,Finance,Maria Garcia
CUST00125,Global Partners,Dallas,Healthcare,Robert Taylor
CUST00126,Prime Group,,Construction,Robert Taylor
CUST00127,Prime Corp,Dallas,Construction,Michael Chen
CUST00128,Summit Industries,Dallas,Technology,Emma Williams
CUST00129,Elite Solutions,Philadelphia,Education,Lisa Anderson
CUST00130,Vertex Group,Chicago,Finance,David Kim
CUST00131,Global Corp,Austin,Manufacturing,Sarah Johnson
CUST00132,Vertex Enterprises,Chicago,Technology,Robert Taylor
CUST00133,Summit Corp,Dallas, Retail,Michael Chen
CUST00134,Elite Enterprises,Austin,Education,Robert Taylor
CUST00135,Prime Corp,Dallas,Education,Robert Taylor
CUST00136,Vertex Partners,Austin,Logistics,Emma Williams
CUST00137,Apex Corp,New York,Construction,Michael Chen
CUST00138,Vertex Corp,Austin,Manufacturing,Sarah Johnson
CUST00139,Phoenix Corp,Phoenix,Healthcare,Emma Williams
CUST00140,Prime Group,Houston,Education,James Rodriguez
CUST00141,Apex Corp,San Diego,Logistics,James Rodriguez
CUST00142,Elite Corp,San Antonio,Technology,Michael Chen
CUST00143,Elite Partners,San Diego,Logistics,Sarah Johnson
CUST00144,Vertex Solutions,New York,Technology,Maria Garcia
CUST00145,Elite Partners,Austin,Logistics,Michael Chen
CUST00146,Elite Partners,San Diego,Logistics,Emma Williams
CUST00147,Summit Enterprises,San Antonio,Retail,Lisa Anderson
CUST00148,Phoenix Group,Los Angeles,Logistics,
CUST00149,Apex Corp,Chicago,Retail,Michael Chen
CUST00150,Apex Corp,Los Angeles,Logistics,Maria Garcia
CUST00151,Global Corp,Phoenix,Technology,Sarah Johnson
CUST00152,Global Corp,New York,Manufacturing,David Kim
CUST00153,Phoenix Enterprises,Philadelphia,Finance,Robert Taylor
CUST00154,Global Enterprises,Houston, Logistics,Robert Taylor
CUST00155,Global Solutions,New York,Healthcare,David Kim
CUST00156,Summit Industries,Philadelphia,Education,Lisa Anderson
CUST00157,Vertex Partners,Philadelphia,Construction,Maria Garcia
CUST00158,Apex Group,Houston,Technology,Michael Chen
CUST00159,Vertex Enterprises,Los Angeles,Manufacturing,Emma Williams
CUST00160,Vertex Solutions,New York,Technology,Emma Williams
CUST00161,Summit Group,New York,Healthcare,Maria Garcia
CUST00162,Phoenix Enterprises,,Education,Maria Garcia
CUST00163,Prime Enterprises,Chicago,Technology,Lisa Anderson
CUST00164,Summit Partners,Phoenix,Retail,Michael Chen
CUST00165,Summit Group,Chicago,Education,Michael Chen
CUST00166,Summit Partners,Los Angeles,Logistics,David Kim
CUST00167,Phoenix Enterprises,Philadelphia,Logistics,Emma Williams
CUST00168,Elite Partners,New York,Technology,Emma Williams
 CUST00169 ,Tech Solutions,Philadelphia,Retail,Sarah Johnson
CUST00170,Apex Enterprises,Houston,Education,James Rodriguez
CUST00171,Summit Industries,New York,Education,Emma Williams
CUST00172,Vertex Industries,Philadelphia,Healthcare,David Kim
CUST00173,Phoenix Solutions,San Antonio,Construction,Sarah Johnson
CUST00174,Apex Industries,San Diego,Manufacturing,David Kim
CUST00175,Apex Solutions,Dallas,Manufacturing,Lisa Anderson
CUST00176,Global Group,Austin,Healthcare,David Kim
CUST00177,Vertex Industries,San Antonio,Technology,Maria Garcia
CUST00178,Prime Corp,Dallas,Manufacturing,
CUST00179 ,Global Partners,New York,Logistics,David Kim
CUST00180,Summit Industries,San Diego,Retail,Maria Garcia
CUST00181,Prime Partners,Austin,Logistics,Sarah Johnson
CUST00182,Prime Corp,Philadelphia,Retail,Maria Garcia
CUST00183,Elite Group,Philadelphia,Finance,
CUST00184,Apex Group,Dallas,Finance,James Rodriguez
CUST00185,Summit Group,Austin,Technology,James Rodriguez
CUST00186,Vertex Partners,San Diego,Technology,Robert Taylor
CUST00187,Vertex Industries,Dallas,Technology,Michael Chen
CUST00188,Prime Corp,Houston,Construction,James Rodriguez
CUST00189,Global Industries,New York,Finance,Robert Taylor
CUST00190,Elite Corp,San Antonio,Healthcare ,David Kim
CUST00191,Prime Group,Phoenix,Education,David Kim
CUST00192,Prime Corp,Dallas,Finance,Emma Williams
CUST00193,Apex Enterprises,San Diego,Healthcare,Michael Chen
CUST00194,Apex Enterprises,Houston,Technology,Michael Chen
CUST00195,Apex Group,,Retail,Lisa Anderson
CUST00196,Tech Corp,Philadelphia,Technology,James Rodriguez
CUST00197,Elite Group,Houston,Education,Robert Taylor
CUST00198,Prime Industries,Phoenix,Manufacturing,James Rodriguez
CUST00199,Tech Group,Houston,Retail,Maria Garcia
CUST00200,Global Industries,Philadelphia,Technology,James Rodriguez
CUST00201,Global Solutions,Philadelphia,Finance,Sarah Johnson
CUST00202,Tech Industries,Los Angeles,Healthcare,Emma Williams
CUST00203,Tech Partners,Los Angeles,Construction,James Rodriguez
CUST00204,Tech Group,Austin,Manufacturing,
CUST00205,Apex Enterprises,New York,Education,Sarah Johnson
CUST00206,Vertex Industries,San Antonio,,James Rodriguez
CUST00207,Phoenix Enterprises,New York,Manufacturing,Robert Taylor
 CUST00208,Apex Corp,San Diego,Logistics,Robert Taylor
CUST00209,Tech Group,Phoenix,Technology,Maria Garcia
CUST00210,Tech Corp,New York,Finance,David Kim
CUST00211,Apex Solutions,Philadelphia,Construction,Emma Williams
CUST00212 ,Tech Corp,Philadelphia,Technology,James Rodriguez
CUST00213,Tech Industries,Los Angeles,Retail,Maria Garcia
 CUST00214,Elite Enterprises,Los Angeles,Education,David Kim
CUST00215,Global Industries,Houston,Finance,Lisa Anderson
CUST00216,Summit Solutions,San Antonio,Construction,David Kim
CUST00217,Vertex Industries,Phoenix,Finance,David Kim
CUST00218,Vertex Group,Austin,Finance ,Maria Garcia
CUST00219,Tech Partners,Los Angeles,Finance,David Kim
CUST00220,Vertex Enterprises,San Antonio,Healthcare,Maria Garcia
CUST00221,Prime Enterprises,Philadelphia,,Maria Garcia
CUST00222,Apex Group,Dallas,Education,Emma Williams
CUST00223,Prime Corp,San Antonio,Technology,Sarah Johnson
CUST00224,Tech Industries,San Diego,Logistics,Emma Williams
CUST00225,Summit Corp,Phoenix,Logistics,David Kim
CUST00226,Apex Enterprises,Los Angeles,Finance,David Kim
CUST00227,Tech Enterprises,Dallas,Logistics,Robert Taylor
CUST00228,Summit Group,Chicago,Healthcare,Michael Chen
CUST00229,Elite Group,San Diego,Construction,James Rodriguez
CUST00230,Global Solutions,Philadelphia,Education,Maria Garcia
CUST00231,Global Enterprises,San Antonio,Retail,David Kim
CUST00232,Summit Partners,New York,Finance,David Kim
CUST00233,Global Solutions,Austin,Education,David Kim
CUST00234,Summit Group,San Antonio,Manufacturing,Sarah Johnson
CUST00235,Prime Partners,Chicago,Technology,Robert Taylor
CUST00236,Vertex Corp,Houston,Retail,Emma Williams
CUST00237,Vertex Group,San Diego,Education,James Rodriguez
CUST00238,Summit Enterprises,Phoenix,Education,Maria Garcia
CUST00239,Phoenix Group,Houston,,James Rodriguez
CUST00240,Prime Solutions,Chicago,Manufacturing,Lisa Anderson
CUST00241,Phoenix Industries,Austin,Logistics,Robert Taylor
CUST00242,Apex Enterprises,San Antonio,Construction,Lisa Anderson
CUST00243,Summit Partners,Dallas,Healthcare,Robert Taylor
CUST00244,Apex Enterprises,,Manufacturing,Sarah Johnson
CUST00245,Vertex Solutions,Austin,Finance,
CUST00246,Prime Industries,Chicago,Technology,Michael Chen
CUST00247,Apex Industries,Chicago,Retail,
CUST00248,Apex Corp,San Antonio,Healthcare,Robert Taylor
CUST00249,Phoenix Corp,Phoenix,Finance,Sarah Johnson
CUST00250,Summit Industries,Philadelphia,Education,David Kim
CUST00251,Prime Corp,Philadelphia,Logistics,David Kim
CUST00252,Apex Corp,San Diego,Manufacturing,Emma Williams
CUST00253,Vertex Corp,San Antonio,,Maria Garcia
CUST00254,Elite Group,San Antonio,Technology,James Rodriguez
CUST00255,Vertex Partners,Phoenix,Education,Michael Chen
CUST00256,Vertex Enterprises,Philadelphia,Healthcare,Sarah Johnson
CUST00257,Phoenix Industries,San Diego,Manufacturing,David Kim
CUST00258,Prime Solutions,Phoenix,,David Kim
CUST00259,Elite Group,Dallas,Retail,Lisa Anderson
CUST00260,Apex Group,Phoenix,Finance,Maria Garcia
CUST00261,Tech Enterprises,San Antonio,Logistics,Emma Williams
CUST00262,Vertex Solutions,Philadelphia,Construction,
CUST00263,Apex Enterprises,Houston,Technology,Emma Williams
CUST00264,Vertex Group,Philadelphia,Technology,Robert Taylor
CUST00265,Prime Enterprises,New York,,Robert Taylor
CUST00266,Global Industries,Dallas,Manufacturing,Maria Garcia
CUST00267,Elite Enterprises,San Diego,Education,James Rodriguez
 CUST00268,Tech Partners,San Antonio, Finance,David Kim
CUST00269,Global Group,San Antonio,Logistics,Lisa Anderson
CUST00270,Prime Corp,Chicago,Education,Sarah Johnson
CUST00271,Phoenix Corp,Chicago,Retail,Michael Chen
CUST00272,Tech Group,New York,Construction,David Kim
CUST00273,Prime Enterprises,Houston,Finance,Sarah Johnson
CUST00274,Elite Group,San Antonio,Education,Emma Williams
CUST00275,Phoenix Solutions,Dallas,Technology,Maria Garcia
CUST00276,Elite Group,San Antonio,Retail,Lisa Anderson
CUST00277,Vertex Corp,Chicago,Manufacturing,David Kim
 CUST00278 ,Elite Enterprises,Dallas,Logistics,Michael Chen
CUST00279,Apex Enterprises,New York,Logistics,Sarah Johnson
CUST00280,Apex Enterprises,Phoenix,Construction,David Kim
CUST00281,Summit Partners,San Diego,Education,
 CUST00282,Vertex Solutions,Dallas,Manufacturing,Maria Garcia
CUST00283,Global Partners,Philadelphia,Healthcare,
CUST00284,Summit Group,Dallas,Construction,Maria Garcia
CUST00285,Vertex Solutions,San Antonio,Manufacturing,Sarah Johnson
CUST00286,Apex Group,Los Angeles,Education,James Rodriguez
CUST00287,Prime Solutions,Chicago,Construction,Michael Chen
CUST00288,Prime Corp,Phoenix,,
CUST00289,Summit Corp,Houston,Education,James Rodriguez
CUST00290,Apex Corp,Houston,Manufacturing,Michael Chen
CUST00291,Vertex Industries,Phoenix,Technology,James Rodriguez
CUST00292,Summit Industries,New York,Finance,David Kim
CUST00293,Tech Industries,Dallas,Education,Maria Garcia
CUST00294,Vertex Solutions,New York,Technology,Lisa Anderson
CUST00295,Elite Enterprises,Philadelphia,Finance,Lisa Anderson
CUST00296,Phoenix Industries,Chicago,Finance,
CUST00297,Global Corp,Phoenix,Manufacturing,David Kim
CUST00298,Apex Industries,Phoenix,Logistics,Robert Taylor
CUST00299,Apex Industries,Austin,Finance,David Kim
CUST00300,Apex Enterprises,Philadelphia,Finance,Robert Taylor
CUST00301,Tech Corp,Dallas,Retail,James Rodriguez
CUST00302,Vertex Solutions,Dallas,Finance,Robert Taylor
CUST00303,Elite Partners,San Antonio,Education,Michael Chen
CUST00304,Summit Corp,Austin,Finance,Lisa Anderson
CUST00305,Tech Corp,Philadelphia,Technology,Sarah Johnson
CUST00306,Global Partners,Austin,Technology,Emma Williams
CUST00307,Summit Industries,Houston,Finance,Lisa Anderson
CUST00308,Tech Group,Houston,,Robert Taylor
CUST00309,Elite Partners,New York,,
CUST00310,Prime Group,Houston,Healthcare,Robert Taylor
CUST00311,Global Corp,Philadelphia,Finance,Robert Taylor
CUST00312,Summit Partners,Chicago,Healthcare,James Rodriguez
CUST00313,Prime Industries,Austin,Construction,Maria Garcia
CUST00314,Vertex Group,Austin,Retail,Maria Garcia
CUST00315,Apex Group,Chicago,Construction,James Rodriguez
CUST00316,Summit Corp,Los Angeles,Retail,Emma Williams
CUST00317,Global Industries,New York,Technology,Lisa Anderson
CUST00318,Prime Corp,San Antonio,Retail,Maria Garcia
CUST00319,Apex Solutions,Philadelphia,Healthcare,Michael Chen
CUST00320,Summit Enterprises,Chicago,Technology,Lisa Anderson
CUST00321,Elite Group,San Antonio, Construction ,David Kim
CUST00322,Apex Solutions,San Antonio,Construction,Robert Taylor
CUST00323,Elite Solutions,Houston,Healthcare,Maria Garcia
CUST00324,Summit Corp,Los Angeles, Finance ,David Kim
CUST00325,Global Enterprises,Houston,Education,Sarah Johnson
CUST00326,Summit Corp,Chicago,Manufacturing,
CUST00327,Elite Solutions,Austin,Finance,David Kim
CUST00328,Apex Corp,San Diego,Finance,Michael Chen
CUST00329,Prime Corp,Chicago,Logistics,
CUST00330,Summit Partners,Houston,Manufacturing,David Kim
CUST00331,Global Partners,Austin,Manufacturing,Maria Garcia
CUST00332 ,Phoenix Corp,Philadelphia,Healthcare,Sarah Johnson
CUST00333,Vertex Partners,Austin,Healthcare,David Kim
CUST00334,Global Industries,Houston,Manufacturing,Maria Garcia
CUST00335,Prime Industries,San Diego,Education,Sarah Johnson
CUST00336,Elite Industries,Dallas,Healthcare ,David Kim
 CUST00337,Apex Partners,New York,Manufacturing,Maria Garcia
CUST00338,Vertex Group,Los Angeles,Construction,Lisa Anderson
CUST00339,Global Group,Austin,Healthcare,James Rodriguez
CUST00340,Global Industries,Chicago, Finance,Sarah Johnson
 CUST00341,Prime Partners,Austin,Technology,Emma Williams
CUST00342,Prime Industries,San Antonio,Finance,David Kim
CUST00343,Prime Industries,Philadelphia,Manufacturing,Robert Taylor
CUST00344,Summit Solutions,Chicago,Construction,David Kim
CUST00345,Prime Partners,Los Angeles,Retail,Sarah Johnson
CUST00346,Apex Partners,Philadelphia,Retail,Sarah Johnson
CUST00347,Phoenix Group,Houston,Manufacturing,David Kim
CUST00348,Elite Corp,San Diego,Education,Maria Garcia
CUST00349,Tech Corp,Phoenix,Education,Lisa Anderson
CUST00350,Phoenix Industries,Chicago,Technology,Robert Taylor
CUST00351,Apex Solutions,San Diego,Finance,Emma Williams
CUST00352,Apex Partners,Austin,Finance,James Rodriguez
CUST00353,Global Corp,San Antonio,Logistics,Sarah Johnson
CUST00354,Elite Group,Austin,Logistics,Sarah Johnson
CUST00355,Vertex Solutions,San Diego,Construction,Sarah Johnson
CUST00356,Global Industries,Houston,Logistics,
CUST00357,Global Group,Philadelphia,Logistics,Robert Taylor
CUST00358,Global Group,San Antonio,Education,Sarah Johnson
CUST00359,Phoenix Solutions,Phoenix,Retail,Maria Garcia
CUST00360,Tech Partners,San Diego,Manufacturing,James Rodriguez
CUST00361,Apex Solutions,San Diego,Construction,James Rodriguez
CUST00362,Apex Enterprises,Dallas,Manufacturing,Emma Williams
CUST00363,Global Industries,Phoenix,Technology,Michael Chen
CUST00364,Prime Solutions,San Antonio,Education,David Kim
CUST00365,Summit Partners,New York,Logistics,David Kim
CUST00366,Global Partners,Phoenix,Logistics,Lisa Anderson
CUST00367,Apex Partners,Los Angeles,Manufacturing,Robert Taylor
CUST00368,Global Industries,Austin,Retail,
CUST00369,Phoenix Industries,Dallas,Healthcare,Robert Taylor
CUST00370,Elite Partners,Houston,Technology,James Rodriguez
CUST00371,Tech Corp,Chicago,Manufacturing,David Kim
CUST00372,Prime Partners,New York,Healthcare,David Kim
CUST00373,Vertex Industries,Dallas,Manufacturing,James Rodriguez
CUST00374,Global Group,San Antonio,Logistics,Michael Chen
CUST00375,Elite Group,Philadelphia,Technology,Maria Garcia
CUST00376,Prime Group,San Diego,Logistics,Maria Garcia
CUST00377,Phoenix Enterprises,San Diego,Construction,Lisa Anderson
CUST00378,Tech Industries,Los Angeles,Logistics,Robert Taylor
CUST00379,Apex Industries,Chicago,Logistics,Sarah Johnson
CUST00380,Tech Group,Austin,Education,James Rodriguez
CUST00381,Phoenix Enterprises,Austin,Education,Michael Chen
CUST00382,Tech Solutions,Los Angeles,Education,Robert Taylor
CUST00383,Global Industries,New York,Education,
CUST00384,Global Corp,Dallas,Logistics,Maria Garcia
CUST00385,Summit Corp,San Diego,Technology,Maria Garcia
CUST00386,Elite Group,San Antonio,,Lisa Anderson
CUST00387,Global Group,Chicago,Logistics,Maria Garcia
CUST00388,Tech Group,Austin,Technology,David Kim
CUST00389,Tech Enterprises,Philadelphia,,Emma Williams
CUST00390,Tech Group,Houston,Construction,Maria Garcia
CUST00391,Apex Solutions,Chicago,Finance,James Rodriguez
CUST00392,Global Group,New York,Education,Emma Williams
CUST00393,Apex Corp,Houston,Healthcare ,David Kim
CUST00394,Tech Corp,Phoenix,Finance,
CUST00395,Tech Solutions,San Diego,Construction,David Kim
CUST00396,Global Enterprises,San Diego,Logistics,Robert Taylor
CUST00397,Summit Group,Phoenix,Retail,David Kim
CUST00398 ,Elite Industries,Dallas,Technology,Emma Williams
CUST00399,Vertex Solutions,Los Angeles,Logistics,Lisa Anderson
CUST00400,Summit Corp,Los Angeles,Healthcare,Maria Garcia
CUST00401,Summit Partners,Houston,Finance,Lisa Anderson
CUST00402,Elite Solutions,Philadelphia,Technology,Sarah Johnson
CUST00403,Prime Group,New York,Finance,Lisa Anderson
CUST00404,Apex Industries,Austin,Education,
CUST00405,Tech Group,Houston,Education,Emma Williams
CUST00406,Prime Group,Houston,Construction,Lisa Anderson
CUST00407,Prime Enterprises,Austin,Finance,Sarah Johnson
CUST00408,Apex Partners,Houston,Retail,Emma Williams
CUST00409,Apex Solutions,San Antonio,Construction,Michael Chen
CUST00410,Tech Enterprises,Chicago,Logistics,James Rodriguez
CUST00411,Apex Solutions,Houston,Retail ,Maria Garcia
CUST00412,Apex Group,New York,Retail,Robert Taylor
CUST00413,Summit Industries,Chicago,Logistics,Maria Garcia
CUST00414,Vertex Group,New York,Retail,David Kim
CUST00415,Elite Industries,Los Angeles,Manufacturing,Emma Williams
CUST00416,Prime Enterprises,Dallas,Technology,Emma Williams
CUST00417,Apex Corp,Houston,Manufacturing,Michael Chen
CUST00418,Apex Enterprises,Los Angeles,Construction,David Kim
CUST00419,Elite Enterprises,Los Angeles,Construction,James Rodriguez
CUST00420,Global Solutions,San Diego,Retail,David Kim
CUST00421,Prime Solutions,New York,Retail,Sarah Johnson
CUST00422 ,Vertex Enterprises,New York,Construction,James Rodriguez
CUST00423,Summit Partners,San Antonio,Logistics,Sarah Johnson
CUST00424,Global Solutions,Austin, Logistics,Robert Taylor
CUST00425,Summit Corp,Los Angeles,Technology,Michael Chen
CUST00426,Tech Industries,Houston,Technology,Emma Williams
CUST00427,Apex Partners,Chicago,Retail,Emma Williams
CUST00428,Elite Group,Phoenix,Finance,David Kim
CUST00429,Apex Solutions,San Diego,Construction,Maria Garcia
CUST00430,Global Industries,New York,Logistics,Sarah Johnson
CUST00431,Global Corp,Phoenix,Retail,Maria Garcia
CUST00432,Phoenix Enterprises,San Diego,Manufacturing,Sarah Johnson
CUST00433,Elite Solutions,San Antonio,Retail,Lisa Anderson
CUST00434,Phoenix Solutions,San Antonio,Retail,Robert Taylor
CUST00435,Summit Enterprises,Chicago,Retail,Michael Chen
CUST00436,Apex Partners,Chicago,Education,Maria Garcia
CUST00437,Phoenix Enterprises,Los Angeles,Manufacturing,Michael Chen
CUST00438,Apex Partners,Phoenix,Retail,Maria Garcia
CUST00439,Phoenix Corp,Dallas,Logistics,Lisa Anderson
CUST00440,Phoenix Enterprises,Philadelphia,Logistics,Emma Williams
CUST00441,Vertex Group,New York,Technology,Sarah Johnson
CUST00442,Summit Group,Philadelphia,Construction,Maria Garcia
CUST00443,Global Corp,San Diego,Technology,Robert Taylor
CUST00444,Global Group,Dallas,Education,David Kim
CUST00445,Prime Partners,Philadelphia,Healthcare,Michael Chen
CUST00446,Elite Enterprises,San Diego,Logistics,James Rodriguez
 CUST00447,Apex Enterprises,Dallas,Finance,Sarah Johnson
CUST00448,Vertex Enterprises,Chicago,Technology,Lisa Anderson
CUST00449,Apex Partners,New York,Finance,Sarah Johnson
CUST00450,Global Partners,Phoenix,Finance,James Rodriguez
CUST00451,Elite Industries,Austin,Education,Emma Williams
CUST00452,Tech Industries,Houston,Finance,Sarah Johnson
CUST00453,Global Corp,,Manufacturing,Emma Williams
CUST00454,Prime Industries,Chicago,Finance,Robert Taylor
CUST00455,Phoenix Solutions,Dallas,Retail,Lisa Anderson
CUST00456,Phoenix Corp,San Antonio,Manufacturing,Michael Chen
CUST00457,Phoenix Group,Phoenix,Finance,David Kim
CUST00458,Apex Partners,Houston,Manufacturing,Robert Taylor
CUST00459,Vertex Partners,Dallas, Technology,Lisa Anderson
CUST00460,Phoenix Industries,New York,,David Kim
